"Spalte1","klimatische(r) Stressor(en)","Anpassungsmaßnahme","Branche(n)","Unternehmensbereich / Handlungsfeld","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Starkregen; Hochwasser","Durchführung bzw. Verbesserung von Drainagemaßnahmen am Standort","Verarbeitendes Gewerbe; Logistik; Nahrungsmittelindustrie; Forst- und Holzwirtschaft","bauliche Maßnahmen","Gaggenau; Borho; Evola; Hafen Kehl","Frankreich; Deutschland","Tieflagen","z. B. leistungsfähigere Abwasserleitungen und Pumpen, Gräben, Regenrinnen, etc.; Gefälle schaffen","Gag: Ce que j’ai fait faire, j’ai fait installer une gouttière à l’intérieur, donc on a une gouttière qui rattrapait les infiltrations. Ca a très bien marché sur ce hall-là. J’ai fait la même chose au hall à côté, mais au hall à côté, ça coulait le long de la paroi, ça passait entre la gouttière et le mur, donc elle n’a servi à rien.","Borho: soweit ich weiß sind wir da von der Stadt abgesichert, wir haben einen Kanal unter der Spedition, der durchgeht, der mündet dann auch in die Kinzig. Wir liegen ein paar hundert Meter neben der Kinzig, wo das dann abfließt [… ] Als die Spedition vor 70 Jahren gebaut worden ist wurde das alles schon eben weitgehendst mit einkalkuliert und wir haben dann so einen Kanal eben der unter der Spedition eben durchfließt, wo dann quasi alles Wasser von oben erst mal unten durch spülen würde.
","Evola: Wir vertragen uns jetzt mit dem Gedanken, dass die über kurz oder lang, die Entwässerung doch nach außen verlagert wird, sprich, dass das Dachwasser nicht mehr durch die Halle entwässert wird, sondern eben nach außen verlagert wird und das Wasser dann nachher halt im Hof steht. Wo es mich weniger tangiert und auch weniger Schaden anrichten kann, wenn es dann ganz ganz außergewöhnlich groß werden sollte. [...]  aber langfristig ist es natürlich dem Vermieter zu sagen:“ Hör mal zu, bring die Entwässerung in den Außenbereich und schau, dass die jeweiligen Abflüsse entsprechend groß dimensioniert sind.“ Einen Abfluss größer zu dimensionieren ist auch so ein Problem, da muss man sprich mit dem Bagger kommen und ein größeres Rohr legen
","HKE: Wir können im Freispiegelgefälle die Starkregen direkt ableiten in die Vorfluter, die Hafenbecken oder in die Kinzig. Das funktioniert eigentlich hervorragend. Wir haben nirgendwo gestaute Flächen bei Starkregen. Ich mach das jetzt 33 Jahre und ich habe noch nicht einmal erlebt, dass wir einmal Probleme mit Hochwassern oder Starkregen bekamen.","online-Befragung",,,,,
,"Starkregen; Hochwasser","Bauliche Schutzmaßnahmen (Abdichtung, Überdachungen, etc.) am Gebäude, auf dem Grundstück, an Betriebsanlagen, auf Baustellen","Wasserversorgung; Bausektor; Logistik","bauliche Maßnahmen","SW Müllheim; B2; U1; U2; C1; C2; D1; Hafen Kehl; Doll","Deutschland","Tieflagen","Wassereintritt auf das Gelände und in Gebäude soll verhindert werden, z. B. durch Schutzmauern, kleinere Fluttore, Fensterabdichtungen, etc.","SWMS: Starkregen, Hochwasser, naja da müssen wir einfach gucken, dass unsere Anlagen entsprechend gebaut sind, dass da nichts eindringt.","Hars et al S. 62","HKE: Gegen Starkregen sind wir sehr gut geschützt, auch sämtliche Gebäude im Rheinhafen Kehl, das sind immerhin etwa 120 Betriebe, die wir hier Beherbergen, vom kleinen Ein-Mann Betrieb bis zum großen Stahlwerk oder Papierfabrik wurden in den 70er Jahren auf die Stauhaltungsführung eingestellt, dass heißt auch alle Kellergebäude sind [...] absolut Wasserdicht abgedichtet, sodass auch bei Kellergebäuden kein Wassereinbruch bei Starkregen erfolgen kann, wenn nicht gerade einer einen riesen Blödsinn macht und das Kellerfenster auf lässt oder sonst was","Doll: Im Grundsatz ja, weil wir immer gutes Equipment führen und auch, sage ich mal, im Logistikobjekt jetzt passende Tore haben, oder passende Überdachungen […] Was wir oft machen, dass wir bei einem Freilager zum Beispiel, dass man dort eben mit einer Überdachung arbeitet, das ist eigentlich mit die häufigste Maßnahme.

",,,,,,
,"Starkregen; Hochwasser","Ausbau von Versickerungsflächen auf dem Betriebsgelände","Verarbeitendes Gewerbe; Getränkeindustrie","bauliche Maßnahmen","Gaggenau; Decker Bier","Frankreich; Deutschland","Tieflagen","z. B. auf Parkplätzen; zur Entlastung des Abwassersystems und Reduzierung des Oberflächenabflusses","L’idée qu’on a, c’est en faisant un parking, d’essayer de récupérer les eaux de pluie et de les infiltrer. Ca sera une solution par rapport aux grosses pluies. Si on essaye d’infiltrer dans le sol directement, je ne suis pas sûr non plus… ça délesterait aussi le réseau d’assainissement. Ca aurait certainement une conséquence sur le réseau d’assainissement de Lipsheim, est-ce que pour nous ça… on n’en sait rien. Ca sera pris en compte avec le nouveau parking.","Decker: da gab es auch mal eine Phase, da hat es extrem gehagelt und auch viel geregnet. Wir mussten tatsächlich auch eine Sickergrube noch anlegen –das haben wir vor zwei Jahren gemacht –dass das Wasser besser abläuft.",,,,,,,,
,"Starkregen; Hochwasser","Lagerung von wassergefährdenden Stoffen an überflutungssicheren Orten","Verarbeitendes Gewerbe; Logistik","sonstige technische Maßnahmen","Hévron; Hafen Kehl","Schweiz; Deutschland","Tieflagen; mittlere Lagen","z. B. Öl, Baustoffe, Chemikalien; zur Verhinderung von Wasserverschmutzung","Mais si une fois l'eau sort de la rivière - la Sorne -  ce serait embêtant. Mais nous travaillons l'acier donc ça va. Ce qu'on a dû faire par contre, au niveau environnemental, c'est mettre tous nos produits de peinture, de colle, dans une zone sure, au cas où il y aurait un incendie ou une inondation. Avant, on avait un vieux container avec nos peintures au bord de la rivière, franchement, c'était dangereux. Maintenant, tout est entreposé dans une belle zone ""ex"" [non-inondable]. Si une fois il devait y avoir une inondation et que tout était inondé, quand on voit notre site, il pourrait se passer la chose suivante :  nos employés ne pourraient plus travailler, le temps qu'il y ait de l'eau par terre.","HKE: Es gibt ja diese Hochwassergefahrenkarten, die man nachschauen kann. Auch die Versicherungen verlangen den Nachweis zu führen heutzutage, was kann bei euch passieren bei extremen Wasserspiegellagen. Dem muss man schon Rechnungen tragen und auch einen Notfallplane aufstellen wie beispielsweise [...] oder große Betriebe mit Chemikalien, die müssen da schon den Nachweis führen.",,,,,,,,
,"Starkregen; Hochwasser","Installation von IT-Infrastruktur an überflutungssicherem Ort  (nicht im Erdgeschoss oder Keller) ","Verarbeitendes Gewerbe","sonstige technische Maßnahmen",,,,"wegen Überflutungsgefahr",,,,,,,,,,
,"Starkregen; Hochwasser","erhöhte Lagerung von sensiblen Waren","Logistik","sonstige technische Maßnahmen","Evola; Dischinger","Deutschland","Tieflagen","z. B. auf Paletten, in Hochregalen, etc.","Evola: in dem Moment wo es regnet kann es passieren, dass Teile meiner Umschlagshalle oder Lagerhalle dementsprechend auch überflutet werden, gut, wir haben fast alles auf Paletten stehen, so dass wir da eigentlich weniger einen direkten Schaden haben, es ist also schlichtweg das Problem, dass das Wasser nicht aufgeführt werden kann in dieser kurzen Zeit, in der es anschwillt.","Disch2: man lagert heutzutage nicht mehr in Keller oder so, das gibt es nicht mehr, man lagert immer höher, weil die LKWs haben ja eine Höhe von 1,10m oder so etwas in die Richtung und wenn der Regen mal so hoch kommt, dann haben wir die Sintflut hier bei solchen Regenmassen. An das glaube ich jetzt nicht ganz, dass die ganze Ebene mit 1,10 m oder 1,20m hoch geht.",,,,,,,,
,"Starkregen; Hochwasser","Einbau von Rückstausicherungen (Rückstauklappen) im Wasserleitungssystem","Wasserversorgung","bauliche Maßnahmen",,,,,,,,,,,,,,
,"Starkregen","regelmäßige Wartung von Leitungen, Dachrinnen und Fallrohren zur Vermeidung von Verstopfungen","Getränkeindustrie","sonstige technische Maßnahmen","Decker","Deutschland","Tieflagen","z. B. Laub und Schmutz entfernen","Decker:  weil dort das Laub über –ich denke mal –Jahre nicht  entfernt  wurde  und  das  den  Boden  unheimlich  verdichtet  hat.  Das  mussten  wir  alles lockern. Das ist auch jetzt immer noch ein Thema, weil wir so ein leichtes Gefälle haben. Aber das  sehen  wir  nicht  so  vom  Klima  abhängig,  sondern  [...]  Wir  haben  einen  großen Walnussbaum auch und der ist –klar zu dieser Jahreszeit, da kannst du jeden Tag irgendwie Laub wegräumen. Der verstopft auch die ganzen Abflüsse, das ist logisch. Dasselbe hast du aber auch wenn du braust, wenn du die Tanks ausspülst. Da ist unheimlich viel so Schlacke drin, was übrig bleibt vom Hopfen. Genau. Und das sind alles so Sachen, die müssen natürlich durch den Abfluss durch.",,,,,,,,,
,"Starkregen","Anpassung von Baumaterialien, Produkten und Befestigungssystemen","Bausektor","Innovationen im Geschäftsmodell","B2; C1; C2; D1","Deutschland","Tieflagen","z. B. gestiegene Anforderungen an Statik bei Dachstühlen wg größere Wasserauflast; größere Dachrinnen, etc.","Hars et al. S. 62",,,,,,,,,
,"Starkregen","Schulungen für Management und Personal zum Umgang mit Starkregen-Risiken (Verhaltensregeln)","Bausektor; Logistik","Management & Arbeitsorganisation; Verhalten","B1; B2; Hafen Kehl","Deutschland","Tieflagen","z. B. im Überschwemmungsfall nicht in Kellern, Tiefgaragen, Unterführungen usw. aufhalten","Hars et al. S. 62","HKE: auch alle Kellergebäude sind auf diese Höhencode absolut Wasserdicht abgedichtet, sodass auch bei Kellergebäuden kein Wassereinbruch bei Starkregen erfolgen kann, wenn nicht gerade einer einen riesen Blödsinn macht und das Kellerfenster auf lässt oder sonst was",,,,,,,,
,"Starkregen","Installation eines Videoüberwachungssystems zur Fernerkennung von eindringendem Regenwasser","Logistik","sonstige technische Maßnahmen","Evola","Deutschland","Tieflagen","auch am Wochenende / nachts","Evola: mit dem Starkregen ist es halt so, der kann jederzeit kommen, also auch Samstag, Sonntag, wenn wir eigentlich geschlossen sind. Gut ok, ich wohne im gleichen Ort, ich hab eine Videoüberwachung hier drin installiert. Sprich wenn ich sehe, dass hier etwas runtergeht, dann wirft man halt mal einen Blick in die Videoüberwachung, auch Samstag oder am Sonntag oder zu einer nachtschlafenden Zeit und schaut wie es dort aussieht.
",,,,,,,,,
,"Starkregen","Verwendung wasserdichter Materialien zum Schutz von Betriebsmitteln und Ware ","Logistik","sonstige technische Maßnahmen","Hafen Kehl; Doll","Deutschland","Tieflagen","z. B. mit Schutzfolien, Überdachungen, wasserabweisenden Materialien, etc.","Doll: wenn man irgendwas lagert oder so, ist das natürlich schon auch immer ein Thema, dass man sich mit dem passenden Equipment darauf vorbereitet. Man hat zum Beispiel, wenn man jetzt hinten bei einem LKW die Türe hinten aufmacht, da an dem Aufleger, wo die Ware drauf ist, da hat man ja auch ab und zu einmal Probleme wenn man die aufmacht und es kommt ein Starkregen dementsprechend dass die Ware beschädigt wird. Klar die wird dann zum Beispiel mit Folien auf den letzten 8-9 Paletten geschützt. Man arbeitet da präventiv.
",,,,,,,,,
,"Starkregen","LKW-Logistik: angepasste Fahrweise während Starkregen","Logistik","Verhalten ","Dischinger","Deutschland","Tieflagen","zur Vermeidung von Unfällen und Schäden","Disch2:  Und Verkehr klar, man kann nicht so schnell fahren oder es gibt Unfälle, das sieht man ja auch wenn man selbst PKW fährt, dann kann man halt nicht mit 180 km/h da durchbrettern, sondern dann muss man halt runter auf 110 km/h oder so auf die Art.",,,,,,,,,
,"Starkregen; Hochwasser; Hitze; Gewitter & Hagel","Installation eines Server-Duplikats an sicherem Ort","Verarbeitendes Gewerbe","sonstige technische Maßnahmen","Hévron","Schweiz; Frankreich","Tieflagen; mittlere Lagen","als Back-up bei Überschwemmungen, Brand, Überhitzung, etc.","Hév: On sait que nous sommes dans une zone inondable. Après, on sait qu'on est considéré dans une zone inondable, mais cela fait trente ans qu'on y vit et on sait pourquoi on est considéré comme tels, cependant il y a eu tellement de changements, il y a eu tellement eu de choses, d'inondations dans le coin... mais finalement nous, ça va, ce n'est pas si inondable que ça, ça ne nous touche pas. [...] ils ( Anm. les informaticiens) nous ont fait faire une redondance de serveur dans un endroit loin de la boîte, dans un bunker en hauteur, sur un gros socle en béton. C'est là que se trouve notre sauvegarde, si jamais il y a un incendie et que tout le système informatique saute, ou un gros piratage... On a tenu compte ici de la menace des inondations. ","Gag: Effectivement, on a eu un incident en 2015. Notre salle serveur se trouve dans ce bâtiment-là. On a un système de double climatisation, l’une qui tourne constamment, et une 2e en secours, et les deux étaient tombées en panne en même temps, en plein mois d’août. L’alarme s’est déclenchée. Le temps de réagir… c’est quelque chose dont on n’a pas l’habitude… On était vraiment très très limite. Théoriquement, un serveur aurait même pu brûler. On a changé complètement le truc, c’étaient des trop vieux modèles, on les a remplacés. C’est qqch qu’on va certainement suivre un peu mieux au niveau maintenance. Tout en sachant que les serveurs qu’on a sur le site sont tous dupliqués en Allemagne sur un serveur central, il y a une sauvegarde qui se fait. On ne perdrait que 24h de données.",,,,,,,,
,"Starkregen; Hochwasser; Schnee; Hitze; Sturm; Gewitter&Hagel","Umgehung von gesperrten Strecken nach Extremwetterereignissen wie Überschwemmungen, Rutschungen, Schneemassen, etc.","Logistik","Verhalten; Management & Arbeitsorganisation","Hafen Karlsruhe; Dischinger","Deutschland","Tieflagen","ist in der Branche gang und gäbe, reduziert Verzögerungen","HKA: Dann müssen sie eins sehen, die Straßen- und Schieneninfrastruktur ist ja im Grunde genommen so konzipiert, dass ein durchgehender Verkehr 24/7 das gesamte Jahr möglich ist. Nicht umsonst gibt es dann Straßen, die auf Dämmen gebaut sind oder die Schienentrasse dann mit kleinen Brücken und so weiter, das ist ja genau auch der Grund, weshalb man seinerzeit bei dem Bau bzw. auch der Planung das Thema Regen auch im Kopf gehabt hat. Deswegen, klar, es gibt einzelne Abschnitte, tiefere Lagen oder auch wenn es Hangstrecken sind, wenn da mal eine [..., „a gschmier“?] runterbricht, klar. Aber das ist im Prinzip für die Abwicklung der gesamten Logistik bzw. gesamten logistischen Kette kein großes Problem. Es gibt dazu Umgehungsstrategien. Das heißt man fährt eine andere Strecke oder der Zug hat drei oder vier Stunden Verspätung,","Disch2: auf den Straßen umgefallene Bäume und so etwas. Glauben Sie, wenn wir davon ausgehen können, dass es mehr solcher Ereignisse gibt, würden Sie denken, dass Sie eher gut oder eher schlecht darauf vorbereitet sind, was es eben an Risiken gibt wie zum Beispiel Unfälle oder so. IP: Aber auch wieder klein geschrieben. Ein LKW, das ist wie eine Maus, die kommt durch jede Ritze und jedes Loch hindurch
",,,,,,,,
,"Gewitter & Hagel; Starkregen; Hochwasser; Sturm; Schnee","Ausbau des Versicherungsschutzes, z. B. Elementarschadenversicherung","Forst- und Holzwirtschaft; Logistik; Nahrungsmittelindustrie; Landwirtschaft; Bausektor","Finanzen","Holzbearbeitung Heinzelmann; Doll; D1; u.a.","Deutschland","Tieflagen; mittlere Lagen","gg. Schäden an PV-Anlagen, Ernteausfälle, Sachschäden","HH: Gewitter und Hagel, ja gut, es kann halt sein, dass unsere  Fotovoltaik  Anlagen  Schaden davon nehmen,  aber  die  werden für  sowasauchversichert","Doll: Das ist ein Thema und im Bereich, wo man sagt, ja okay man hat an Fahrzeugen oder sonstigen einfach Schäden erlitten, so ein Hagelschaden oder sowas, aber das ist ja von den Versicherungen abgedeckt.
","Dörr 2021, S. 43: 4 von 7 KMU haben Versicherung abgeschlossen","Zeller 2021, S. 63","D1: Wir hatten tatsächlich mal 2015 einen Schadensfall bei uns, wir waren grad fertig mit dem Unterdach und bevor wir die Ziegel eindecken konnten kam ein Hagel und der hat uns das komplette Unterdach zerschlagen […] d.h. der Schaden von damals von 30.000 € wäre komplett an mir hängen geblieben.",,,,,
,"Gewitter & Hagel; Starkregen; Hochwasser; Sturm; Schnee","gemeinsamer Abschluss einer Elementarschadenversicherung bei Kleinbetrieben","Landwirtschaft","Finanzen",,,,"da Versicherungspolicen für einzelne Kleinbetriebe oft zu hoch sind","Dörr 2021, S. 43",,,,,,,,,
,"Gewitter & Hagel; Starkregen ","Abdeckung angebauter Kulturen und gelagerter Ware durch Überdachungen, Hagelnetze, etc.","Logistik; Nahrungsmittelindustrie; Landwirtschaft","Bauliche Maßnahmen","Doll","Deutschland","Tieflagen","zum Schutz von gelagerter Ware, z. B. PKWs, oder von Anbaukulturen wie Wein, Beeren, etc.","Doll: was man natürlich mittlerweile auch macht, zum Beispiel, dass man bei Freiflächen mit PKW’s oder so, dass man da Hagelnetze einbaut. Das gibt’s natürlich schon auch.","Dörr 2021, S. 44","Zeller 2021, S. 63","online-Umfrage",,,,,,
,"Gewitter & Hagel; Sturm","Ersatz von älteren Stromleitungen durch neue, unwetterfeste Trassen","Energiewirtschaft","Bauliche Maßnahmen","IWB","Schweiz","Tieflagen","zur Vermeidung von unwetterbedingten Unterbrechungen der Stromversorgung","IWB: Gewitter & Hagel hat einen gewissen Einfluss auf die Stromversorgung, genauso wie Stürme. Wenn Stürme und starke Gewitter zunehmend, dann kann es zu mehr Stromunterbrüchen    führen.    Das    ist    abzuwarten;    bisher    sind    wir    mit    der    Basler Stromversorgung gut aufgestellt, aber bei Stromtrassen, die älter sind oder in Gebieten sind, wo   das   extrem   zunimmt,   kann   es   unter   Umständen   zu   mehr   Unterbrüchen   in   der Stromversorgung führen",,,,,,,,,
,"Sturm","Anpassung der Statik von Gebäuden, Dächern etc. an erhöhte Windlast","Bausektor","Innovationen im Geschäftsmodell","U2; D1; C2","Deutschland","Tieflagen","z. B. bei PV-Anlagen auf Dächern","Hars et al. S. 62",,,,,,,,,
,"Sturm","windsichere Befestigung von Gegenständen (Betriebsmittel, gelagerte Ware, etc.) im Außenbereich ","Bausektor; Logistik","sonstige technische Maßnahmen","U2; Contargo","Deutschland","Tieflagen","z. B. ausgestellte Swimming Pools","Hars et al S. 25: So werden aufgrund vermehrter Sturmereignisse Gegenstände im Außenbereich besser befestigt als früher","Kolhof et al. 2018",,,,,,,,
,"Sturm","Risikokommunikation an Mitarbeitende","Wasserversorgung","Management & Arbeitsorganisation; Verhalten",,,,,,,,,,,,,,
,"Sturm","Ausstattung von Anlagen mit autonomer Fernsteuerungstechnik","Wasserversorgung","sonstige technische Maßnahmen",,,,,,,,,,,,,,
,"Sturm; Gewitter & Hagel","Umstrukturierung der Lager: sensible Ware nicht im Freien lagern","Getränkeindustrie","sonstige technische Maßnahmen","Lieler Schlossbrunnen","Deutschland","Tieflagen","z. B. Leergut","Was noch eine Rolle spielt ist Starkwind. Also aufgetreten nicht wirklich aber wenn mal so Starkwind istim Hof bei uns –da steht auch das Leergut –ist dann auch mit Wind verbunden, dass viele Kisten umfallen, wenn so ein richtiger Starkwind herrschen würde",,,,,,,,,
,"Sturm; Gewitter & Hagel","unwetterfester Gebäudeausbau, bes. am Dach","Getränkeindustrie; Wasserversorgung; Logistik","bauliche Maßnahmen","Kleyling","Deutschland","Tieflagen",,,,,,,,,,,
,"Sturm; Gewitter & Hagel","Wetterwarnungen beachten & bei Extremwetter nicht im Wald aufhalten","Forst- und Holzwirtschaft","Verhalten; Management & Arbeitsorganisation","Sägewerk 1","Deutschland",,,"Sägewerk 1: Alsowenn jetzt jemand mir sagt morgen stürmt es, klar dann schaue ich,dass ich nicht unbedingt im Wald unterwegs bin.",,,,,,,,,
,"Kälte & Frost","Anbringen von Heizelementen an kältesensiblen Betriebsmitteln","Forst- und Holzwirtschaft; Landwirtschaft","sonstige technische Maßnahmen",,"Deutschland",,"z. B. Handgriffheizung an Kettensägen, Heizelemente an Wasserleitungen in Ställen","Stech 2021",,,,,,,,,
,"Kälte & Frost","Förderung nachhaltiger Schutzmaßnahmen gegen Spätfröste","Landwirtschaft","sonstige technische Maßnahmen",,,,"v.a. im Wein- und Obstbau; z. B. Bodenbewuchs kurzhalten, Frostschutzkerzen, Windräder, u.a.; möglichst keine Maßnahmen mit hohem Wasserverbrauch und hohen fossilen Emissionen","Zeller 2021, S. 67",,,,,,,,,
,"Schnee","Schneeschutzmaßnahmen auf Baustellen","Verarbeitendes Gewerbe","sonstige technische Maßnahmen","Hévron","Schweiz","mittlere Lagen; Hochlagen","z. B. Planen, Netze zum Sichern von Gerüsten, etc., zur Vermeidung von Unterbrechungen","Hévron: Mais parfois, dans ces vallées comme à Couvet - où on sait que des extrêmes climatiques sont à prévoir, on demande à la direction de travaux de mettre un filet (Netz) autour de l'échafaudage, ainsi il n’y a pas de neige et on peut travailler. ",,,,,,,,,
,"Schnee","Zwischenlagerung von Holz zur Aufrechterhaltung des Betriebs bei schneebedingten Lieferunterbrechungen","Forst- und Holzwirtschaft","sonstige technische Maßnahmen","Holzbearbeitung Heinzelmann","Deutschland","mittlere Lagen",,"HH: Schnee beziehungsweise Schneemangel ist immer in Problem, wars aber auch schon immer im Schwarzwald, wenns zu viel schneit, dann können die Rundholztransporter nicht in den Wald fahren und das Holz zu uns runterfahren, also dafür braucht man auch gewisse  Lagermöglichkeiten,  Zwischenlager,  das  man  auch  über  die  Wintermonate produzieren kann, weil die Kunden es da auch nicht stehen lassen.",,,,,,,,,
,"Schnee","Schneeketten","Logistik","sonstige technische Maßnahmen",,,,,"Kolhof et al. 2018, S. 31",,,,,,,,,
,"Schneemangel; Sturm; Kälte & Frost","Schaffung schnee- und Schlecht-Wetter-unabhängiger Angebote, v.A. indoor","Wintertourismus","Innovation im Geschäftsmodell",,,"Höhenlagen","z. B. Freizeitbäder, Fundorena Feldberg, Museen, Wellness, Weihnachtsmärkte, Shopping, Winterwandern (ohne Schnee) etc.","Kolb & Konrad 2021 ","Daus 2017",,,,,,,,
,"Schneemangel","Ausbau der künstlichen Beschneiung (möglichst ressorcenschonend)","Wintertourismus","sonstige technische Maßnahmen",,,"Höhenlagen",,"Kolb & Konrad 2021 ","Daus 2017",,,,,,,,
,"Schneemangel","effizienterer Umgang mit dem vorhandenen Schnee: Schneefanggitter, Schneelagerung (Snow-Farming)","Wintertourismus","sonstige technische Maßnahmen",,,"Höhenlagen",,"Daus 2017",,,,,,,,,
,"Schneemangel","mehr Liftbetriebszeit durch Flutlichtfahren bei räumlicher Konzentration auf beschneibare Hänge","Wintertourismus","Innovation im Geschäftsmodell; sonstige technische Maßnahmen",,,"Höhenlagen",,"Kolb & Konrad 2021 ",,,,,,,,,
,"Schneemangel","Förderung weniger schneeintensiver Aktivitäten wie Rodeln, Langlauf, Schneeschuhwandern","Wintertourismus","Innovation im Geschäftsmodell",,,"Höhenlagen",,"Kolb & Konrad 2021 ",,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg","Erschließung neuer Zielgruppen & Geschäftsfelder","Wintertourismus; Wasserversorgung","Innovation im Geschäftsmodell",,,"Höhenlagen","z. B. Wellness-Angebote statt Skifahren, im Bereich Wärme- und Stromversorgung, etc.","Kolb & Konrad 2021 ",,,,,,,,,
,"Schneemangel","Liftumbau, um ganzjährige Nutzung zu ermöglichen","Wintertourismus","bauliche Maßnahmen",,,"Höhenlagen","am Feldberg realisiert; Gondel statt Schlepplift, um auch Gäste außerhalb der Skisaison transportieren zu können, z. B. Wanderer, Mountainbiker, etc.","Kolb & Konrad 2021 ","Daus 2017",,,,,,,,
,"Schneemangel","Bewerbung des Standortvorteils von Höhenlagen im Sommer (""Sommerfrische"")","Wintertourismus","Image & PR",,,"Höhenlagen",,"Kolb & Konrad 2021 ",,,,,,,,,
,"Schneemangel","Angebotsausweitung in der Sommer- und Nebensaison","Wintertourismus","Innovation im Geschäftsmodell",,,"Höhenlagen","z. B. kulturelle Angebote, ganzjährige outdoor-Aktivitäten, Attraktionen wie Sommerrodelbahn, Themenpfade, etc. ","Kolb & Konrad 2021 ",,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg","Verlagerung der Hauptsaison für Wintersport von Weihnachten in schneesicherere Periode (Fasnachtsferien, ggfs. Ostern)","Wintertourismus","Management & Arbeitsorganisation; Innovation im Geschäftsmodell",,,"Höhenlagen",,"Berghammer & Schmiede 2014 (Wiss. Publ.)",,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg; Sturm; Starkregen; Hochwasser; Dürre; Hitzewellen; Gewitter & Hagel","Förderung eines positiven Images der Urlaubsregion mit Betonung der Vielfalt, Zuverlässigkeit und Wetterunabhängigkeit der Angebote","Tourismus","Image & PR",,,"Tieflagen; mittlere Lagen; Höhenlagen","um dem Ausbleiben der Gäste wg. Schneemangel oder Extremwetter entgegenzuwirken","Daus 2017",,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg; Sturm; Starkregen; Hochwasser; Dürre; Hitzewellen; Gewitter & Hagel","Förderung lokaler Netzwerke zum Abfedern von Geschäftsrisiken","Tourismus","Management & Arbeitsorganisation",,,"Tieflagen; mittlere Lagen; Höhenlagen","um den Gästen attraktive Alternativen bei Schneemangel und Extremwetter anzubieten (z. B. Hochschwarzwald-Card) und Einnahmeausfall zu kompensieren","Daus 2017",,,,,,,,,
,"Schneemangel; Sturm ","Versicherung gegen Ausfall von Großveranstaltungen","Tourismus","Finanzen",,,,"z. B. Skispring-Weltcup Hinterzarten","Daus 2017",,,,,,,,,
,"Luftfeuchte","Installation von Luft-Entfeuchtungsanlagen","Logistik","sonstige technische Maßnahmen",,"Deutschland",,"in Lagerhallen, in denen sensible Produkte gelagert werden","Kolhof et al. 2018, S. 31",,,,,,,,,
,"alle","regelmäßige Verfolgung des Wetterberichts zur möglichst frühzeitigen Anpassung an erwartetes Wetter (Arbeitsabläufe im Außenbereich, wetterbedingte Angebotsschwankungen, etc.) ","Nahrungsmittelindustrie","Management & Arbeitsorganisation",,,,"z. B. Abpacken von Grillgut bei Hitzewellen..","Dörr 2021",,,,,,,,,
,"alle","gezielte Kundenberatung: Förderung des Verständnisses für klimabedingte Schwankungen von Nahrungsmitteln (Verfügbarkeit, Qualität) + des Interesses an nachhaltiger Ernährung","Nahrungsmittelindustrie; Landwirtschaft","Image & PR",,,,"Ziel: Langfristige Kundenbindung auch bei klimabedingten Engpässen","Dörr 2021, S. 42","Zeller 2021, S. 63",,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Hochwasser","Hochwasserschutzmaßnahmen am Oberrhein: Staustufen, Rheinseitenkanal, Dämme, Retentionsflächen, etc.","Logistik","bauliche Maßnahmen","Hafen Kehl","Deutschland","Tieflagen","im Zuge der Rektifikation von Tulla und seinen Nachfolgern durchgeführt; zur Zeit IRP","HKE: auch im Bereich Hochwasser, muss ich ihnen sagen, sind wir eigentlich „Safe“ hier am Oberrhein und zwar bis zur Stauhaltung Iffezheim. Wir haben hier garantierte Wasserstände. […] Es gibt Hochwasserrückhaltebecken, also so genannte Retentionsflächen, die in den letzten Jahren ausgebaut worden sind, sicherlich nicht genug, da ist noch einiges in Arbeit. Aber die Ableitungen an den Stauwehren auch für 1000-jährige Hochwasser sind ja gegeben, in dem man die Wehranlagen zieht, beziehungsweise die Überläufe runterfährt und somit ist die Ableitung der Hochwasser gewährleistet. 
",,,,,,,,,
